ease5_序号,ease5_行号,ease5_列号,ease5_x,ease5_y,ease5_z,self_序号,self_行号,self_列号,self_x,self_y,self_z,ease5_spl,self_spl,delta_db(self-ease5),match_dist_xyz
52,3,12,0.59,9.4,1.2,52,3,12,0.59,9.4,1.2,86.83,87.3,0.46999999999999886,0.0
53,3,13,0.99,9.4,1.2,53,3,13,0.99,9.4,1.2,86.63,87.27,0.6400000000000006,0.0
54,3,14,1.39,9.4,1.2,54,3,14,1.4,9.4,1.2,86.73,87.36,0.6299999999999955,0.010000000000000009
55,3,15,1.79,9.4,1.2,55,3,15,1.8,9.4,1.2,87.13,87.53,0.4000000000000057,0.010000000000000009
56,3,16,2.19,9.4,1.2,56,3,16,2.19,9.4,1.2,87.42999999999999,87.75,0.3200000000000074,0.0
57,3,17,2.59,9.4,1.2,57,3,17,2.61,9.4,1.2,87.53,87.8,0.269999999999996,0.020000000000000018
58,3,18,2.99,9.4,1.2,58,3,18,3.0,9.4,1.2,87.42999999999999,87.69,0.2600000000000051,0.009999999999999787
59,3,19,3.39,9.4,1.2,59,3,19,3.42,9.4,1.2,87.13,87.4,0.27000000000001023,0.029999999999999805
60,3,20,3.8,9.4,1.2,60,3,20,3.81,9.4,1.2,86.63,87.05,0.4200000000000017,0.010000000000000231
61,4,1,-3.84,8.14,1.2,61,4,1,-3.85,8.16,1.2,82.13,83.72,1.5900000000000034,0.02236067977499762
62,4,2,-3.44,8.14,1.2,62,4,2,-3.46,8.16,1.2,83.53,84.66,1.1299999999999955,0.028284271247461613
63,4,3,-3.04,8.14,1.2,63,4,3,-3.04,8.16,1.2,84.73,85.74,1.009999999999991,0.019999999999999574
64,4,4,-2.64,8.14,1.2,64,4,4,-2.65,8.16,1.2,85.92999999999999,86.65,0.7200000000000131,0.02236067977499742
65,4,5,-2.24,8.14,1.2,65,4,5,-2.23,8.16,1.2,87.13,87.42,0.29000000000000625,0.02236067977499762
66,4,6,-1.84,8.14,1.2,66,4,6,-1.84,8.16,1.2,88.13,88.08,-0.04999999999999716,0.019999999999999574
67,4,7,-1.44,8.14,1.2,67,4,7,-1.44,8.16,1.2,88.73,88.73,0.0,0.019999999999999574
68,4,8,-1.04,8.14,1.2,68,4,8,-1.03,8.16,1.2,88.92999999999999,88.96,0.030000000000001137,0.02236067977499752
69,4,9,-0.63,8.14,1.2,69,4,9,-0.63,8.16,1.2,88.83,88.91,0.0799999999999983,0.019999999999999574
70,4,10,-0.23,8.14,1.2,70,4,10,-0.22,8.16,1.2,88.42999999999999,88.68,0.2500000000000142,0.02236067977499752
71,4,11,0.19,8.14,1.2,71,4,11,0.18,8.16,1.2,87.83,88.24,0.4099999999999966,0.02236067977499752
72,4,12,0.59,8.14,1.2,72,4,12,0.59,8.16,1.2,87.33,87.91,0.5799999999999983,0.019999999999999574
73,4,13,0.99,8.14,1.2,73,4,13,0.99,8.16,1.2,87.13,87.97,0.8400000000000034,0.019999999999999574
74,4,14,1.39,8.14,1.2,74,4,14,1.4,8.16,1.2,87.53,88.2,0.6700000000000017,0.02236067977499752
75,4,15,1.79,8.14,1.2,75,4,15,1.8,8.16,1.2,88.13,88.47,0.3400000000000034,0.02236067977499752
76,4,16,2.19,8.14,1.2,76,4,16,2.19,8.16,1.2,88.63,88.74,0.10999999999999943,0.019999999999999574
77,4,17,2.59,8.14,1.2,77,4,17,2.61,8.16,1.2,88.83,88.9,0.07000000000000739,0.028284271247461613
78,4,18,2.99,8.14,1.2,78,4,18,3.0,8.16,1.2,88.83,88.8,-0.030000000000001137,0.02236067977499742
79,4,19,3.39,8.14,1.2,79,4,19,3.42,8.16,1.2,88.42999999999999,88.52,0.09000000000000341,0.036055512754639495
80,4,20,3.8,8.14,1.2,80,4,20,3.81,8.16,1.2,87.73,87.75,0.01999999999999602,0.02236067977499762
81,5,1,-3.84,6.89,1.2,81,5,1,-3.85,6.9,1.2,82.03,83.94,1.9099999999999966,0.01414213562373159
82,5,2,-3.44,6.89,1.2,82,5,2,-3.46,6.9,1.2,83.53,84.96,1.4299999999999926,0.022360679774998216
83,5,3,-3.04,6.89,1.2,83,5,3,-3.04,6.9,1.2,85.13,86.17,1.0400000000000063,0.010000000000000675
84,5,4,-2.64,6.89,1.2,84,5,4,-2.65,6.9,1.2,86.63,87.42,0.7900000000000063,0.014142135623731277
85,5,5,-2.24,6.89,1.2,85,5,5,-2.23,6.9,1.2,88.23,88.48,0.25,0.01414213562373159
86,5,6,-1.84,6.89,1.2,86,5,6,-1.84,6.9,1.2,89.53,89.33,-0.20000000000000284,0.010000000000000675
87,5,7,-1.44,6.89,1.2,87,5,7,-1.44,6.9,1.2,90.42999999999999,90.16,-0.269999999999996,0.010000000000000675
88,5,8,-1.04,6.89,1.2,88,5,8,-1.03,6.9,1.2,90.63,90.334,-0.29599999999999227,0.014142135623731435
89,5,9,-0.63,6.89,1.2,89,5,9,-0.63,6.9,1.2,90.33,90.21,-0.12000000000000455,0.010000000000000675
90,5,10,-0.23,6.89,1.2,90,5,10,-0.22,6.9,1.2,89.53,89.69,0.1599999999999966,0.014142135623731435
91,5,11,0.19,6.89,1.2,91,5,11,0.18,6.9,1.2,88.53,88.82,0.28999999999999204,0.014142135623731435
92,5,12,0.59,6.89,1.2,92,5,12,0.59,6.9,1.2,87.63,88.45,0.8200000000000074,0.010000000000000675
93,5,13,0.99,6.89,1.2,93,5,13,0.99,6.9,1.2,87.63,88.58,0.9500000000000028,0.010000000000000675
94,5,14,1.39,6.89,1.2,94,5,14,1.4,6.9,1.2,88.03,88.92,0.8900000000000006,0.014142135623731435
95,5,15,1.79,6.89,1.2,95,5,15,1.8,6.9,1.2,88.92999999999999,89.38,0.45000000000000284,0.014142135623731435
96,5,16,2.19,6.89,1.2,96,5,16,2.19,6.9,1.2,89.83,89.87,0.04000000000000625,0.010000000000000675
97,5,17,2.59,6.89,1.2,97,5,17,2.61,6.9,1.2,90.42999999999999,90.21,-0.21999999999999886,0.022360679774998216
